MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          SoilIndex   
2.061       39.96       0.9542      0.353       1.751       84.5        21.12       0.00729     0.6999      0.3897      0.1016      1           
11.77       60          0.9542      0.2726      1.57        45.55       11.39       0.009023    0.6839      0.2151      0.609       1           
0.2691      54.2        0.9971      0.3964      1.323       66.91       16.73       0.005871    0.703       0.1587      0.3495      1           
0.04889     48.68       0.9578      0.3949      1.485       88.54       22.13       0.004827    0.7915      0.4051      0.4611      1           
2.89        72.98       0.989       0.4562      1.222       54.3        13.58       0.00833     0.7932      0.5913      1.011       1           
13.75       57.58       0.9612      0.1182      1.704       54.39       13.6        0.009477    0.7661      0.2615      0.8494      1           
2.449       51.23       0.9788      0.241       1.705       71.43       17.86       0.008014    0.7428      0.08029     0.2436      1           
4.149       50.57       0.9995      0.4569      1.498       81.4        20.35       0.008419    0.6438      0.6173      0.2151      1           
9.02        58.09       0.9967      0.4933      1.831       36.39       9.098       0.005014    0.6625      0.543       0.4826      1           
8.519       58.82       0.998       0.3566      1.351       71.2        17.8        0.004782    0.7195      0.4933      0.4029      1           
14.49       64.09       0.9933      0.3392      1.571       74.75       18.69       0.008525    0.75        0.02076     0.6112      1           
6.928       57.37       0.9667      0.1798      1.858       55.92       13.98       0.006555    0.7147      0.0628      0.4837      1           
2.601       55.23       0.9902      0.2624      1.375       85.89       21.47       0.007894    0.7402      0.1139      0.4847      1           
0.6887      79.22       0.9689      0.4237      1.798       75.87       18.97       0.01039     0.8325      0.3462      0.7081      1           
0.5278      47.23       0.9756      0.209       1.699       25.71       6.426       0.006062    0.6855      1.127       0.08063     1           
2.458       66.36       0.9501      0.2771      1.855       32.26       8.064       0.004913    0.6195      0.4902      0.4217      1           
8.513       44.57       0.9685      0.2543      1.773       88.92       22.23       0.01003     0.8086      0.7347      0.316       1           
2.603       55.18       0.9574      0.2617      1.837       83.86       20.96       0.008322    0.7992      1.526       0.2412      1           
2.477       48.6        0.9507      0.1399      1.482       24.67       6.167       0.006385    0.8189      1.692       0.9292      1           
1.719       53.74       0.9638      0.4907      1.49        64.89       16.22       0.008912    0.7252      1.462       0.5358      1           
7.865       52.08       0.9983      0.2919      1.394       44.73       11.18       0.009024    0.7173      0.5951      0.4719      1           
13.82       65.7        0.9567      0.324       1.398       51.74       12.93       0.007526    0.7937      0.03429     0.8229      1           
9.965       57.94       0.9737      0.4577      1.875       75.96       18.99       0.009752    0.7687      0.2514      0.7283      1           
1.623       61.97       0.9604      0.218       1.469       75.37       18.84       0.01051     0.8406      0.2277      0.387       1           
6.923       46.79       0.9707      0.415       1.817       33.17       8.293       0.009236    0.7633      1.109       0.8744      1           
2.334       60.27       0.9817      0.1533      1.728       54.92       13.73       0.007915    0.6211      0.5014      0.5227      1           
4.45        46.44       0.9594      0.1179      1.569       41.44       10.36       0.004095    0.6777      0.7082      0.7475      1           
8.029       46.29       0.9544      0.2173      1.845       78.9        19.73       0.008211    0.7062      0.273       0.9262      1           
6.624       53.17       0.975       0.2106      1.338       88.18       22.05       0.01099     0.7611      1.205       0.8241      1           
1.811       59.25       0.9625      0.4402      2.088       37.23       9.308       0.005076    0.7656      1.635       0.4211      1           
2.693       70.49       0.9753      0.491       2.026       34.85       8.712       0.00517     0.6348      0.5156      0.9929      1           
1.821       72.29       0.9638      0.4563      2.095       87.49       21.87       0.008834    0.7898      1.209       0.1274      1           
1.989       72.94       0.9633      0.3106      1.672       31.61       7.904       0.008686    0.7905      0.5723      0.2133      1           
3.825       72.98       0.9808      0.4129      1.697       34.46       8.616       0.009626    0.7324      0.3314      0.8729      1           
0.1878      76.33       0.9608      0.4623      2.021       75.66       18.92       0.007574    0.809       1.215       0.9199      1           
0.2508      47.7        0.9525      0.2086      1.601       72.81       18.2        0.007448    0.7804      0.8834      0.9468      1           
7.455       58.34       0.9688      0.4848      1.401       55.07       13.77       0.007188    0.7904      1.083       0.6533      1           
5.665       67.75       0.9763      0.3967      1.903       45.06       11.27       0.006608    0.6404      1.159       0.7099      1           
13.88       53.48       0.9645      0.3287      1.599       55.42       13.86       0.005983    0.6999      0.07892     0.5841      1           
0.7117      47.31       0.9669      0.2359      1.458       52.9        13.22       0.008653    0.6315      1.584       0.4807      1           
6.785       54.94       0.9574      0.3723      1.877       80.89       20.22       0.00891     0.6773      0.4095      0.9707      1           
8.991       55.04       0.952       0.4604      1.538       37.38       9.345       0.005644    0.7916      0.6925      0.3885      1           
0.6215      45.59       0.9752      0.4642      1.842       24.74       6.184       0.003343    0.7591      1.225       0.2652      1           
4.712       69.05       0.9816      0.1978      1.591       68.96       17.24       0.009327    0.8314      1.046       0.3036      1           
2.498       65.82       0.9961      0.4483      1.426       54.27       13.57       0.007074    0.7837      1.485       0.9887      1           
4.035       53.85       0.9553      0.1443      1.875       59.32       14.83       0.005159    0.6816      1.393       0.4305      1           
4.245       72.63       0.9792      0.318       1.615       34.36       8.589       0.008244    0.805       0.9156      0.7142      1           
1.921       55.45       0.9541      0.2116      1.497       51.96       12.99       0.006409    0.6751      0.3619      0.8726      1           
2.066       44.86       0.9906      0.3084      1.491       63.24       15.81       0.004939    0.7003      1.365       0.2491      1           
1.05        63.97       0.9597      0.2637      1.64        89.07       22.27       0.008214    0.7721      1.622       0.3767      1           
0.9668      38.04       0.9681      0.1179      1.806       84.82       21.21       0.007111    0.8015      1.015       0.2023      1           
0.3264      70.1        0.9776      0.2546      1.203       59.02       14.75       0.004074    0.7702      1.86        0.3038      1           
6.991       61.18       0.984       0.372       1.942       66.75       16.69       0.006939    0.787       0.1734      0.2793      1           
1.33        78.37       0.9862      0.3395      1.782       40.96       10.24       0.006025    0.7249      1.487       0.633       1           
2.275       74.92       0.9667      0.3253      2.093       56.75       14.19       0.008623    0.7542      0.7896      0.3488      1           
2.081       76.29       0.9813      0.2267      1.908       67.28       16.82       0.006778    0.6288      1.203       0.3373      1           
0.3542      69.29       0.974       0.3874      1.728       40.08       10.02       0.007615    0.8389      0.243       0.4055      1           
3.053       52.47       0.975       0.1459      1.353       76.23       19.06       0.006313    0.7779      0.6996      0.2412      1           
0.4815      32.49       0.9909      0.1595      2.087       47.01       11.75       0.005417    0.6543      1.126       0.9692      1           
6.076       50.28       0.9578      0.1228      1.941       69.33       17.33       0.004306    0.7968      1.24        0.5612      1           
3.337       52.57       0.9597      0.3439      1.753       51.58       12.9        0.008432    0.7749      1.194       0.7954      1           
0.8864      36.25       0.9552      0.4138      2.026       40.07       10.02       0.003854    0.7742      1.322       0.551       1           
3.743       55.57       0.9825      0.3812      1.315       49.5        12.37       0.006404    0.7347      0.9121      0.7536      1           
9.809       57.52       0.9696      0.1151      1.701       67.73       16.93       0.01085     0.7577      0.03773     0.5611      1           
4.168       52.54       0.9552      0.4323      1.32        77.84       19.46       0.01092     0.8026      1.403       0.6806      1           
0.04789     44.91       0.9991      0.2916      2.056       47.02       11.76       0.008762    0.7238      0.4779      0.4341      1           
0.02145     36.17       0.9563      0.3203      2.173       63.92       15.98       0.009844    0.7827      0.003039    0.4471      1           
0.4047      52.11       0.9827      0.2233      1.721       68.12       17.03       0.00586     0.7451      1.932       0.7591      1           
7.13        56.73       0.9977      0.4761      1.323       89.11       22.28       0.008002    0.7967      0.2079      0.9673      1           
4.216       52.53       0.9716      0.3572      1.804       67.29       16.82       0.004266    0.7939      1.057       0.6162      1           
0.176       51.82       0.981       0.3991      1.795       86.33       21.58       0.005629    0.6567      1.251       0.9545      1           
1.394       47.95       0.9676      0.4635      1.856       84.02       21          0.01022     0.7248      1.556       0.3331      1           
7.347       58.84       0.9524      0.4357      1.914       74.59       18.65       0.01029     0.7473      1.087       1.087       1           
2.064       71.38       0.9654      0.135       1.734       62.46       15.61       0.007557    0.7521      0.6648      0.3993      1           
0.4685      33.37       0.9581      0.1291      1.8         82.47       20.62       0.007324    0.7487      0.1764      0.1835      1           
7.083       53.9        0.9998      0.3298      1.406       60.13       15.03       0.004919    0.8255      0.6751      0.2874      1           
0.2525      78.87       0.9883      0.4358      2           42.79       10.7        0.01064     0.8221      1.136       0.7471      1           
3.085       44.79       0.9582      0.4935      1.607       82.19       20.55       0.004872    0.7168      1.47        0.2581      1           
0.9659      33.69       0.9683      0.3749      1.571       31.87       7.968       0.007641    0.7459      1.619       0.9836      1           
8.403       66.41       0.9999      0.2045      1.369       65.32       16.33       0.004199    0.7696      0.4142      0.9991      1           
2.855       62.02       0.975       0.1835      1.315       50.92       12.73       0.007676    0.7784      0.7331      0.953       1           
2.992       35.62       0.9968      0.1154      1.502       32.02       8.004       0.00506     0.68        0.4106      0.9925      1           
1.466       74.6        0.9671      0.3122      1.74        59.02       14.76       0.007646    0.6745      0.3354      0.96        1           
4.498       52.73       0.9779      0.15        1.424       87.9        21.97       0.00825     0.6979      1.405       0.3276      1           
0.4238      31.1        0.9826      0.3225      1.79        59.68       14.92       0.003214    0.6289      0.8012      0.6541      1           
0.04196     45.01       0.9621      0.4908      1.613       85.69       21.42       0.007239    0.6256      1.798       0.304       1           
6.534       53.8        0.9526      0.2886      1.983       75.75       18.94       0.007239    0.6466      0.8966      0.6849      1           
2.22        47.29       0.9877      0.4914      1.939       74.2        18.55       0.006776    0.7484      0.8796      1.009       1           
3.516       48.42       0.9643      0.1145      1.72        83.04       20.76       0.005503    0.8322      1.234       0.5208      1           
3.451       52.13       0.975       0.2019      1.775       35.87       8.968       0.005942    0.774       0.3257      0.7279      1           
3.372       41.37       0.9527      0.1579      2.039       39.17       9.792       0.003861    0.7335      0.817       0.7759      1           
11.66       49.58       0.984       0.1416      1.54        54.91       13.73       0.009169    0.7312      0.07876     0.8502      1           
0.8657      56.54       0.9997      0.2154      2.047       57.94       14.49       0.003469    0.7874      1.082       0.7486      1           
2.645       42.24       0.9842      0.1018      1.646       30.66       7.665       0.008394    0.6852      0.8293      0.378       1           
1.772       69.93       0.954       0.2465      1.995       85.82       21.46       0.01004     0.759       1.541       0.4305      1           
3.266       47.47       0.9849      0.3798      1.652       75.22       18.8        0.008892    0.6277      0.2279      0.4808      1           
0.7203      60.12       0.9791      0.1717      1.685       66.56       16.64       0.01037     0.7659      0.7215      0.3403      1           
0.5694      63.57       0.9753      0.1663      2.18        36.04       9.01        0.009874    0.6611      1.452       0.8667      1           
5.77        49.92       0.9511      0.1428      1.372       79.73       19.93       0.004777    0.7961      0.2903      0.3027      1           
8.083       62.79       0.9661      0.3231      1.715       61.42       15.36       0.007705    0.7697      0.5548      1.032       1           
8.876       55.63       0.9698      0.4495      1.575       76.71       19.18       0.01078     0.7583      0.9102      1.067       1           
1.353       38.8        0.9571      0.4646      1.834       30.84       7.711       0.003757    0.6819      1.37        0.9538      1           
6.281       72.23       0.955       0.2739      1.528       36.72       9.181       0.006535    0.8179      0.7684      0.6695      1           
0.6321      73.84       0.9728      0.1091      1.92        44.03       11.01       0.01085     0.6387      0.5476      0.7077      1           
12.15       51.54       0.9941      0.3972      1.489       51.66       12.92       0.005785    0.7338      0.1339      1.007       1           
0.6299      72.02       0.9613      0.1601      1.312       46.08       11.52       0.00899     0.8247      1.007       0.8841      1           
14.28       61.78       0.9785      0.279       1.815       84.08       21.02       0.007694    0.7731      0.1642      0.5976      1           
0.2819      33.2        0.9798      0.1729      1.846       56.87       14.22       0.005005    0.6587      1.09        0.1712      1           
6.323       49.79       0.992       0.2412      1.308       45.62       11.41       0.008171    0.8257      1.09        0.9434      1           
0.1395      35.14       0.9803      0.2526      2.154       22.77       5.692       0.004033    0.6373      0.4902      0.3629      1           
6.6         54.29       0.9704      0.1258      1.744       37.63       9.407       0.005832    0.6509      0.4496      0.5834      1           
4.655       62.07       0.9862      0.464       1.634       75.15       18.79       0.00864     0.813       1.285       0.3785      1           
0.6016      53.18       0.9939      0.3308      2.132       68.31       17.08       0.006817    0.6733      1.284       0.3699      1           
0.9159      67.95       0.9856      0.1423      1.556       34.33       8.582       0.009858    0.756       0.9145      0.469       1           
0.5094      65.29       0.9544      0.2832      1.48        38.65       9.664       0.005737    0.7542      1.11        0.5885      1           
5.176       70.25       0.9717      0.2964      1.993       49.91       12.48       0.01038     0.6981      1.231       1.061       1           
2.579       53.62       0.9636      0.2649      2.053       49.43       12.36       0.009344    0.701       1.484       0.4532      1           
2.308       59.76       0.9565      0.2898      1.581       80.88       20.22       0.004058    0.7091      0.5453      0.5256      1           
3.272       74.69       0.972       0.1425      1.628       45.57       11.39       0.0104      0.6389      0.7518      0.942       1           
1.106       37.85       0.9969      0.2891      1.774       75.87       18.97       0.00835     0.6158      1.428       0.7457      1           
0.4742      63.31       0.9936      0.1875      1.937       77.49       19.37       0.009208    0.843       0.7026      0.05686     1           
3.709       74.51       0.9855      0.1466      1.38        44.79       11.2        0.008033    0.7846      0.04187     0.8402      1           
6.693       65.92       0.9672      0.3676      1.815       48          12          0.005494    0.6695      1.148       0.4313      1           
1.872       34.32       0.9867      0.1785      1.792       64.1        16.02       0.007882    0.8135      1.149       0.1801      1           
6.375       70.74       0.9659      0.4158      1.891       77.03       19.26       0.006294    0.7388      0.9977      0.7316      1           
7.996       53.16       0.9644      0.3601      1.866       36.89       9.223       0.007673    0.6933      0.5156      0.7875      1           
4.966       54.93       0.9942      0.2335      1.406       72.68       18.17       0.00831     0.7099      1.043       0.5322      1           
4.793       49.3        0.9812      0.241       1.597       60.32       15.08       0.01021     0.8101      0.5691      0.6806      1           
1.645       36.21       0.9904      0.356       1.404       86.25       21.56       0.01021     0.74        1.004       0.3631      1           
1.63        42.01       0.9545      0.4498      1.796       35.05       8.763       0.005123    0.7492      0.6541      0.5453      1           
1.725       65.69       0.9578      0.4589      1.978       48.17       12.04       0.008945    0.76        0.008216    0.1869      1           
3.245       69.93       0.973       0.4113      1.832       74.47       18.62       0.004961    0.6902      0.02665     0.1816      1           
1.142       61.33       0.9891      0.3013      1.883       34.31       8.577       0.005962    0.7089      0.6935      0.1186      1           
11.65       63.61       0.9661      0.4283      1.648       53.25       13.31       0.005908    0.7303      0.4334      0.659       1           
4.635       47.34       0.9828      0.3651      1.601       36.61       9.153       0.005367    0.826       0.4058      0.4447      1           
7.352       68.78       0.9739      0.4787      1.803       76.34       19.08       0.004959    0.7467      0.4934      0.8115      1           
0.5092      76.48       0.9699      0.3514      1.804       70.64       17.66       0.007509    0.6943      1.799       0.1774      1           
1.803       62.43       0.9776      0.2908      2.112       63.83       15.96       0.009444    0.6517      1.767       0.7535      1           
1.287       67.64       0.9646      0.481       1.368       70.13       17.53       0.006658    0.6125      1.379       0.536       1           
11.08       53.01       0.979       0.3646      1.885       55.17       13.79       0.009061    0.7628      0.2119      0.5671      1           
1.281       70.77       0.9547      0.497       1.403       79.15       19.79       0.006292    0.7541      0.6091      0.3685      1           
0.3804      65.11       0.9655      0.4202      1.663       83.45       20.86       0.005913    0.7513      1.719       0.16        1           
0.01141     61.72       0.9678      0.3237      1.717       37.88       9.469       0.004218    0.805       0.3469      0.07918     1           
0.7946      40.69       0.9641      0.4388      1.646       84.37       21.09       0.00988     0.6712      1.706       0.8167      1           
10.12       56.66       0.9958      0.1914      1.407       87.14       21.79       0.00454     0.7694      0.4217      0.7762      1           
0.734       32.93       0.9747      0.2416      1.771       56.61       14.15       0.008572    0.7843      1.672       0.607       1           
10.61       52.9        0.9935      0.1556      1.807       66.5        16.63       0.00549     0.7918      0.4821      1.013       1           
5.143       65.71       0.9538      0.4666      1.371       54.99       13.75       0.005373    0.7063      1.357       0.5521      1           
2.725       36.46       0.9501      0.2639      2.111       38.2        9.549       0.004226    0.7708      1.142       0.3536      1           
13.68       59.19       0.9604      0.1868      1.764       67.7        16.92       0.008009    0.793       0.03822     1.112       1           
1.831       37.64       0.9777      0.4703      1.747       65.27       16.32       0.005772    0.8187      0.731       0.5693      1           
2.182       63.18       0.9787      0.4997      2.109       34.13       8.533       0.007038    0.6993      0.8964      0.9551      1           
1.054       52.24       0.9858      0.1966      1.702       37.96       9.49        0.003247    0.6742      0.8518      0.8777      1           
3.315       53.99       0.9746      0.1689      1.773       29.88       7.471       0.006264    0.8167      0.02776     0.2065      1           
0.4189      66          0.9989      0.1939      1.779       76.57       19.14       0.009488    0.7726      1.221       0.7543      1           
0.2787      44.83       0.9747      0.3213      1.878       41.88       10.47       0.008088    0.7632      1.575       0.9907      1           
1.204       68.65       0.9838      0.2381      1.932       89.24       22.31       0.01093     0.8459      0.04581     0.8755      1           
8.03        50.54       0.9801      0.3368      1.896       36.11       9.027       0.007659    0.7041      0.7396      0.528       1           
0.3258      71.42       0.9776      0.274       1.214       39.86       9.966       0.008728    0.7116      1.768       0.8375      1           
0.3899      60.26       0.9767      0.4769      1.294       75.67       18.92       0.008852    0.6642      1.467       0.9905      1           
10.47       66.29       0.9908      0.2129      1.821       69.35       17.34       0.006453    0.7196      0.2114      0.906       1           
9.224       58.86       0.9977      0.184       1.902       36.18       9.046       0.006715    0.6707      0.5069      0.6343      1           
11.02       50.03       0.9741      0.3419      1.824       87.32       21.83       0.01024     0.7594      0.3302      1.097       1           
1.521       62.24       0.9502      0.2802      1.224       33.03       8.259       0.009022    0.8184      0.2611      0.5666      1           
14.88       62.98       0.9625      0.4186      1.65        63.06       15.76       0.005697    0.7152      0.1086      1.149       1           
7.964       51.24       0.9808      0.2146      1.866       63.45       15.86       0.007883    0.7671      0.4478      0.4595      1           
10.57       67.51       0.9909      0.1858      1.458       84.22       21.05       0.009174    0.7354      0.2569      0.4125      1           
0.4744      34.72       0.9645      0.1263      1.237       58.97       14.74       0.004117    0.7574      1.647       0.5923      1           
4.732       67.92       0.9908      0.1874      1.983       67.86       16.97       0.007005    0.7734      0.7032      0.4406      1           
5.298       41.58       0.9621      0.4934      1.301       56.23       14.06       0.005391    0.7208      0.6355      0.3976      1           
8.489       56.48       0.9627      0.4741      1.577       76.27       19.07       0.004335    0.7353      0.3973      1.045       1           
3.274       70.57       0.9695      0.145       1.294       34.03       8.508       0.008383    0.698       0.7053      0.1672      1           
4.524       60.2        0.9505      0.1206      1.89        52.07       13.02       0.009733    0.817       1.36        0.5855      1           
0.3916      58.76       0.9748      0.4185      1.538       62.89       15.72       0.009727    0.6636      1.653       0.3408      1           
7.38        52.77       0.9554      0.2847      1.36        59.21       14.8        0.005951    0.8234      0.2691      0.7867      1           
5.127       48.02       0.9698      0.305       2.056       83.87       20.97       0.004637    0.6718      0.5033      0.3686      1           
0.3384      53.37       0.9567      0.4587      2.091       47.11       11.78       0.007883    0.7628      1.906       0.7127      1           
13.04       56.98       0.9946      0.3289      1.382       42.74       10.69       0.004745    0.7872      0.1085      1.022       1           
4.231       62.44       0.9525      0.2455      1.515       61.1        15.28       0.009115    0.7077      1.492       0.399       1           
3.577       42.38       0.995       0.4783      1.395       51.14       12.78       0.008344    0.6348      1.319       0.1333      1           
9.273       56.78       0.9605      0.3603      1.267       46.36       11.59       0.005173    0.8077      0.2084      0.9084      1           
0.3574      42.64       0.9896      0.2037      1.774       55.7        13.93       0.005239    0.771       0.2423      0.7216      1           
10.6        49.23       0.9773      0.2904      1.916       84.73       21.18       0.005464    0.7441      0.5245      0.8278      1           
7.016       51.27       0.9967      0.2008      1.353       89.96       22.49       0.006039    0.6915      0.2141      0.8547      1           
6.102       41.59       0.9705      0.4441      1.76        37.78       9.444       0.008978    0.7541      0.4258      0.6782      1           
3.271       74.2        0.9891      0.17        1.739       86.77       21.69       0.004035    0.7597      1.404       0.2713      1           
11.56       58.35       0.9839      0.2877      1.281       42.28       10.57       0.005707    0.6826      0.314       0.7264      1           
0.9614      57.79       0.9639      0.3498      1.616       84.15       21.04       0.008804    0.8422      0.003029    0.8416      1           
11.39       51.75       0.9684      0.4102      1.623       60.32       15.08       0.008884    0.6924      0.6303      0.768       1           
4.71        72.76       0.9661      0.189       1.524       85.61       21.4        0.005894    0.6475      0.3457      0.8003      1           
0.204       69.29       0.9975      0.2157      1.503       88.48       22.12       0.009392    0.6108      1.667       0.2135      1           
3.889       41.41       0.9845      0.4413      1.271       65.95       16.49       0.009667    0.8335      0.54        0.6646      1           
1.255       63.14       0.9686      0.2425      2.055       38.16       9.539       0.00815     0.719       1.422       0.3285      1           
11.49       67.38       0.9598      0.351       1.7         71.01       17.75       0.007051    0.6997      0.3055      1.13        1           
4.334       47.71       0.9586      0.2511      1.576       64.14       16.03       0.009717    0.761       0.7347      0.2916      1           
3.019       54.69       0.9675      0.3484      1.812       72.96       18.24       0.008087    0.7932      0.1122      0.3132      1           
11.51       56.45       0.9973      0.3162      1.391       54.67       13.67       0.00639     0.7384      0.3781      0.9534      1           
0.8712      35.69       0.9649      0.2282      1.753       68.38       17.09       0.004174    0.815       1.712       0.07855     1           
8.931       49.47       0.9889      0.3457      1.578       59.54       14.88       0.008738    0.7733      0.5881      1.042       1           
8.755       66.17       0.9554      0.1108      1.548       80.47       20.12       0.008789    0.7292      0.4749      0.8237      1           
4.696       41.77       0.9569      0.2908      2.003       75.16       18.79       0.004974    0.6523      0.512       0.2617      1           
0.4593      53.69       0.9815      0.4445      1.814       22.46       5.615       0.0105      0.7032      1.715       0.538       1           
7.267       47.19       0.9935      0.2165      1.564       47.12       11.78       0.009785    0.6787      0.1254      0.258       1           
14.07       65.57       0.9625      0.1766      1.696       67.31       16.83       0.005655    0.7665      0.01724     0.6066      1           
7.082       50.18       0.9797      0.4438      1.302       86.24       21.56       0.004437    0.7961      0.7432      0.7704      1           
2.895       64.09       0.964       0.2649      1.974       70.72       17.68       0.004469    0.7285      1.157       0.3795      1           
0.9287      47.93       0.9817      0.2445      1.482       86.48       21.62       0.005407    0.8415      1.831       0.06237     1           
8.134       51.73       0.9586      0.1222      1.44        71.86       17.96       0.006794    0.7336      0.4379      0.3848      1           
6.112       72.42       0.9582      0.4815      1.538       30.94       7.734       0.009794    0.655       1.231       0.5128      1           
3.221       43.76       0.9882      0.4557      1.596       53.89       13.47       0.005391    0.76        0.3943      0.2554      1           
2.093       62.4        0.9802      0.1884      2.065       75.81       18.95       0.008398    0.6649      0.8239      0.4731      1           
3.608       71.74       0.9561      0.4318      1.769       55.69       13.92       0.00385     0.6763      0.8989      0.5537      1           
4.263       66.13       0.9982      0.1885      1.676       45.57       11.39       0.005967    0.8183      0.3113      0.6622      1           
1.995       45.17       0.9976      0.3682      1.491       69.2        17.3        0.009538    0.6316      0.7803      0.1544      1           
1.771       60.35       0.964       0.1115      2.044       63.45       15.86       0.007631    0.6386      0.508       0.5141      1           
1.35        54.14       0.9643      0.2455      1.832       70          17.5        0.009882    0.7724      0.7776      0.08513     1           
3.632       60.23       0.9846      0.1857      1.718       30.45       7.612       0.003972    0.6263      1.039       0.9811      1           
0.8475      41.09       0.9533      0.378       1.916       27.66       6.914       0.003892    0.8409      1.441       0.9908      1           
1.4         47.54       0.9659      0.2541      2.131       79.72       19.93       0.00762     0.6859      1.024       0.2947      1           
1.214       56.08       0.9923      0.2212      1.401       41.17       10.29       0.01069     0.803       1.199       0.4155      1           
0.2434      30.72       0.9695      0.2554      1.209       64.31       16.08       0.009742    0.6105      1.936       0.7159      1           
0.3791      62.68       0.9657      0.4829      1.736       38.65       9.662       0.007628    0.7676      1.893       0.7184      1           
7.392       60.48       0.958       0.2852      1.98        40.88       10.22       0.009017    0.7465      0.7153      0.8156      1           
0.04201     52.99       0.9656      0.4981      1.775       39.88       9.971       0.008718    0.8334      1.206       0.9781      1           
6.831       49.14       0.9567      0.1471      1.764       87.14       21.79       0.009976    0.7618      1.139       1.031       1           
13.99       63.48       0.9968      0.2172      1.373       66.4        16.6        0.006286    0.7921      0.1889      1.035       1           
2.205       60.8        0.9544      0.2952      1.742       28.33       7.083       0.01052     0.6382      0.04796     0.4101      1           
12.15       50.68       0.9562      0.2221      1.453       81.31       20.33       0.005119    0.7784      0.002388    1.079       1           
0.8532      35.98       0.9891      0.2165      1.845       70.1        17.52       0.009197    0.7383      0.9431      0.7897      1           
7.009       66.97       0.9816      0.3623      1.391       44.89       11.22       0.004209    0.8204      0.05486     0.9595      1           
1.197       54.8        0.9836      0.2917      2.041       72.75       18.19       0.007361    0.6734      1.525       0.1234      1           
6.864       66.74       0.9646      0.1282      1.358       45.13       11.28       0.00702     0.6626      0.1666      1.063       1           
7.768       63.14       0.9608      0.1991      1.982       75.12       18.78       0.009163    0.712       0.03227     0.4755      1           
0.5238      61.3        0.9806      0.2817      2.073       34.44       8.61        0.009637    0.6865      0.1462      0.9734      1           
0.2576      35.13       0.9606      0.1568      1.586       40.97       10.24       0.009       0.6878      0.2788      0.512       1           
1.021       73.99       0.9584      0.2703      1.378       25.95       6.488       0.004283    0.7995      1.551       0.5115      1           
0.1277      47.92       0.952       0.247       1.332       42.91       10.73       0.009668    0.7762      0.8688      0.3224      1           
11.98       54.42       0.9554      0.349       1.489       74.61       18.65       0.006022    0.7671      0.1911      0.5299      1           
0.7253      34.35       0.9569      0.2374      1.525       41.91       10.48       0.00682     0.6928      1.759       0.351       1           
0.8487      42.36       0.9865      0.1458      1.303       64.43       16.11       0.005645    0.8052      1.167       0.3338      1           
9.268       65.58       0.9532      0.2529      1.262       40.11       10.03       0.008159    0.6865      0.3158      0.5172      1           
0.5949      51.49       0.9634      0.2977      2.006       70.38       17.6        0.008771    0.6469      1.466       0.2754      1           
4.09        54.54       0.9749      0.1473      1.554       39.11       9.777       0.005058    0.6342      0.7155      0.9635      1           
8.8         45.7        0.9965      0.4102      1.451       50.18       12.55       0.00874     0.7399      0.5909      0.7885      1           
3.133       64.25       0.9951      0.1534      2.031       25.69       6.422       0.003731    0.7056      1.51        0.8883      1           
3.527       75.06       0.9993      0.3546      2.024       60.73       15.18       0.006907    0.6764      1.503       0.6374      1           
2.615       75.46       0.9574      0.3934      1.232       66.7        16.68       0.003377    0.6469      1.262       0.2881      1           
1.451       33.69       0.991       0.2284      1.982       82.17       20.54       0.01002     0.8251      0.8317      0.1484      1           
5.621       68.07       0.9529      0.3847      1.925       43.97       10.99       0.007108    0.691       1.197       0.8838      1           
12.92       59.3        0.9685      0.1586      1.435       79.79       19.95       0.005102    0.7776      0.4259      0.978       1           
1.623       54.22       0.9763      0.4207      1.217       53.93       13.48       0.009656    0.658       1.285       0.193       1           
4.183       66.92       0.962       0.3845      1.444       59.88       14.97       0.008931    0.8056      0.9249      0.902       1           
0.1588      39.77       0.9706      0.2943      1.934       26.88       6.72        0.006386    0.8282      1.261       0.6683      1           
5.409       55.21       0.9554      0.2569      1.946       49.79       12.45       0.003822    0.6811      0.6161      0.9945      1           
0.4207      36.77       0.971       0.3072      1.298       83.61       20.9        0.006308    0.6847      0.9418      0.3448      1           
1.058       45.25       0.9985      0.1127      1.635       27.34       6.834       0.003743    0.8078      0.3475      0.03597     1           
3.82        73.39       0.9617      0.4528      1.794       78.37       19.59       0.006946    0.7817      1.223       0.6561      1           
8.161       67.16       0.9757      0.1947      1.54        45.68       11.42       0.008453    0.793       0.6772      0.6342      1           
0.6931      79.07       0.9652      0.485       1.753       41.56       10.39       0.006711    0.7703      0.6726      0.1337      1           
7.396       56.87       0.9784      0.2365      1.792       40.96       10.24       0.01094     0.6542      0.9669      0.6822      1           
11.39       56.87       0.9536      0.1977      1.792       83.9        20.98       0.008022    0.6835      0.4881      0.9558      1           
2.032       44.47       0.9691      0.4109      1.91        33.37       8.343       0.006929    0.7793      1.745       0.682       1           
11.17       63.84       0.9813      0.2601      1.465       65.93       16.48       0.01037     0.7157      0.4388      0.8774      1           
14.12       57.88       0.9947      0.3127      1.38        50.84       12.71       0.008694    0.7202      0.09358     1.066       1           
3.842       38.83       0.9953      0.4432      2.007       30.29       7.572       0.007132    0.7775      0.9134      0.9099      1           
0.1241      35.32       0.9816      0.2675      1.378       45.91       11.48       0.00887     0.8289      1.155       0.5005      1           
